Smartchip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NAS25,NAS25,NAS25,NAS25,EUS25,EUS25,EUS25,EUS25,XENOS25,XENOS25,XENOS25,XENOS25,NAS121,NAS121,NAS121,NAS121,EUS121,EUS121,EUS121,EUS121,XENOS121,XENOS121,XENOS121,XENOS121,NAS73,NAS73,NAS73,NAS73,EUS73,EUS73,EUS73,EUS73,XENOS73,XENOS73,XENOS73,XENOS73,NAS169,NAS169,NAS169,NAS169,EUS169,EUS169,EUS169,EUS169,XENOS169,XENOS169,XENOS169,XENOS169,NAS26,NAS26,NAS26,NAS26,EUS26,EUS26,EUS26,EUS26,XENOS26,XENOS26,XENOS26,XENOS26,NAS122,NAS122,NAS122,NAS122,EUS122,EUS122,EUS122,EUS122,XENOS122,XENOS122,XENOS122,XENOS122
37,NAS74,NAS74,NAS74,NAS74,EUS74,EUS74,EUS74,EUS74,XENOS74,XENOS74,XENOS74,XENOS74,NAS170,NAS170,NAS170,NAS170,EUS170,EUS170,EUS170,EUS170,XENOS170,XENOS170,XENOS170,XENOS170,NAS27,NAS27,NAS27,NAS27,EUS27,EUS27,EUS27,EUS27,XENOS27,XENOS27,XENOS27,XENOS27,NAS123,NAS123,NAS123,NAS123,EUS123,EUS123,EUS123,EUS123,XENOS123,XENOS123,XENOS123,XENOS123,NAS75,NAS75,NAS75,NAS75,EUS75,EUS75,EUS75,EUS75,XENOS75,XENOS75,XENOS75,XENOS75,NAS171,NAS171,NAS171,NAS171,EUS171,EUS171,EUS171,EUS171,XENOS171,XENOS171,XENOS171,XENOS171
38,NAS28,NAS28,NAS28,NAS28,EUS28,EUS28,EUS28,EUS28,XENOS28,XENOS28,XENOS28,XENOS28,NAS124,NAS124,NAS124,NAS124,EUS124,EUS124,EUS124,EUS124,XENOS124,XENOS124,XENOS124,XENOS124,NAS76,NAS76,NAS76,NAS76,EUS76,EUS76,EUS76,EUS76,XENOS76,XENOS76,XENOS76,XENOS76,NAS172,NAS172,NAS172,NAS172,EUS172,EUS172,EUS172,EUS172,XENOS172,XENOS172,XENOS172,XENOS172,NAS29,NAS29,NAS29,NAS29,EUS29,EUS29,EUS29,EUS29,XENOS29,XENOS29,XENOS29,XENOS29,NAS125,NAS125,NAS125,NAS125,EUS125,EUS125,EUS125,EUS125,XENOS125,XENOS125,XENOS125,XENOS125
39,NAS77,NAS77,NAS77,NAS77,EUS77,EUS77,EUS77,EUS77,XENOS77,XENOS77,XENOS77,XENOS77,NAS173,NAS173,NAS173,NAS173,EUS173,EUS173,EUS173,EUS173,XENOS173,XENOS173,XENOS173,XENOS173,NAS30,NAS30,NAS30,NAS30,EUS30,EUS30,EUS30,EUS30,XENOS30,XENOS30,XENOS30,XENOS30,NAS126,NAS126,NAS126,NAS126,EUS126,EUS126,EUS126,EUS126,XENOS126,XENOS126,XENOS126,XENOS126,NAS78,NAS78,NAS78,NAS78,EUS78,EUS78,EUS78,EUS78,XENOS78,XENOS78,XENOS78,XENOS78,NAS174,NAS174,NAS174,NAS174,EUS174,EUS174,EUS174,EUS174,XENOS174,XENOS174,XENOS174,XENOS174
40,NAS31,NAS31,NAS31,NAS31,EUS31,EUS31,EUS31,EUS31,XENOS31,XENOS31,XENOS31,XENOS31,NAS127,NAS127,NAS127,NAS127,EUS127,EUS127,EUS127,EUS127,XENOS127,XENOS127,XENOS127,XENOS127,NAS79,NAS79,NAS79,NAS79,EUS79,EUS79,EUS79,EUS79,XENOS79,XENOS79,XENOS79,XENOS79,NAS175,NAS175,NAS175,NAS175,EUS175,EUS175,EUS175,EUS175,XENOS175,XENOS175,XENOS175,XENOS175,NAS32,NAS32,NAS32,NAS32,EUS32,EUS32,EUS32,EUS32,XENOS32,XENOS32,XENOS32,XENOS32,NAS128,NAS128,NAS128,NAS128,EUS128,EUS128,EUS128,EUS128,XENOS128,XENOS128,XENOS128,XENOS128
41,NAS80,NAS80,NAS80,NAS80,EUS80,EUS80,EUS80,EUS80,XENOS80,XENOS80,XENOS80,XENOS80,NAS176,NAS176,NAS176,NAS176,EUS176,EUS176,EUS176,EUS176,XENOS176,XENOS176,XENOS176,XENOS176,NAS33,NAS33,NAS33,NAS33,EUS33,EUS33,EUS33,EUS33,XENOS33,XENOS33,XENOS33,XENOS33,NAS129,NAS129,NAS129,NAS129,EUS129,EUS129,EUS129,EUS129,XENOS129,XENOS129,XENOS129,XENOS129,NAS81,NAS81,NAS81,NAS81,EUS81,EUS81,EUS81,EUS81,XENOS81,XENOS81,XENOS81,XENOS81,NAS177,NAS177,NAS177,NAS177,EUS177,EUS177,EUS177,EUS177,XENOS177,XENOS177,XENOS177,XENOS177
42,NAS34,NAS34,NAS34,NAS34,EUS34,EUS34,EUS34,EUS34,XENOS34,XENOS34,XENOS34,XENOS34,NAS130,NAS130,NAS130,NAS130,EUS130,EUS130,EUS130,EUS130,XENOS130,XENOS130,XENOS130,XENOS130,NAS82,NAS82,NAS82,NAS82,EUS82,EUS82,EUS82,EUS82,XENOS82,XENOS82,XENOS82,XENOS82,NAS178,NAS178,NAS178,NAS178,EUS178,EUS178,EUS178,EUS178,XENOS178,XENOS178,XENOS178,XENOS178,NAS35,NAS35,NAS35,NAS35,EUS35,EUS35,EUS35,EUS35,XENOS35,XENOS35,XENOS35,XENOS35,NAS131,NAS131,NAS131,NAS131,EUS131,EUS131,EUS131,EUS131,XENOS131,XENOS131,XENOS131,XENOS131
43,NAS83,NAS83,NAS83,NAS83,EUS83,EUS83,EUS83,EUS83,XENOS83,XENOS83,XENOS83,XENOS83,NAS179,NAS179,NAS179,NAS179,EUS179,EUS179,EUS179,EUS179,XENOS179,XENOS179,XENOS179,XENOS179,NAS36,NAS36,NAS36,NAS36,EUS36,EUS36,EUS36,EUS36,XENOS36,XENOS36,XENOS36,XENOS36,NAS132,NAS132,NAS132,NAS132,EUS132,EUS132,EUS132,EUS132,XENOS132,XENOS132,XENOS132,XENOS132,NAS84,NAS84,NAS84,NAS84,EUS84,EUS84,EUS84,EUS84,XENOS84,XENOS84,XENOS84,XENOS84,NAS180,NAS180,NAS180,NAS180,EUS180,EUS180,EUS180,EUS180,XENOS180,XENOS180,XENOS180,XENOS180
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NAS217,NAS217,NAS217,NAS217,EUS217,EUS217,EUS217,EUS217,XENOS217,XENOS217,XENOS217,XENOS217,NAS313,NAS313,NAS313,NAS313,EUS313,EUS313,EUS313,EUS313,XENOS313,XENOS313,XENOS313,XENOS313,NAS265,NAS265,NAS265,NAS265,EUS265,EUS265,EUS265,EUS265,XENOS265,XENOS265,XENOS265,XENOS265,NAS361,NAS361,NAS361,NAS361,EUS361,EUS361,EUS361,EUS361,XENOS361,XENOS361,XENOS361,XENOS361,NAS218,NAS218,NAS218,NAS218,EUS218,EUS218,EUS218,EUS218,XENOS218,XENOS218,XENOS218,XENOS218,NAS314,NAS314,NAS314,NAS314,EUS314,EUS314,EUS314,EUS314,XENOS314,XENOS314,XENOS314,XENOS314
46,NAS266,NAS266,NAS266,NAS266,EUS266,EUS266,EUS266,EUS266,XENOS266,XENOS266,XENOS266,XENOS266,NAS362,NAS362,NAS362,NAS362,EUS362,EUS362,EUS362,EUS362,XENOS362,XENOS362,XENOS362,XENOS362,NAS219,NAS219,NAS219,NAS219,EUS219,EUS219,EUS219,EUS219,XENOS219,XENOS219,XENOS219,XENOS219,NAS315,NAS315,NAS315,NAS315,EUS315,EUS315,EUS315,EUS315,XENOS315,XENOS315,XENOS315,XENOS315,NAS267,NAS267,NAS267,NAS267,EUS267,EUS267,EUS267,EUS267,XENOS267,XENOS267,XENOS267,XENOS267,NAS363,NAS363,NAS363,NAS363,EUS363,EUS363,EUS363,EUS363,XENOS363,XENOS363,XENOS363,XENOS363
47,NAS220,NAS220,NAS220,NAS220,EUS220,EUS220,EUS220,EUS220,XENOS220,XENOS220,XENOS220,XENOS220,NAS316,NAS316,NAS316,NAS316,EUS316,EUS316,EUS316,EUS316,XENOS316,XENOS316,XENOS316,XENOS316,NAS268,NAS268,NAS268,NAS268,EUS268,EUS268,EUS268,EUS268,XENOS268,XENOS268,XENOS268,XENOS268,NAS364,NAS364,NAS364,NAS364,EUS364,EUS364,EUS364,EUS364,XENOS364,XENOS364,XENOS364,XENOS364,NAS221,NAS221,NAS221,NAS221,EUS221,EUS221,EUS221,EUS221,XENOS221,XENOS221,XENOS221,XENOS221,NAS317,NAS317,NAS317,NAS317,EUS317,EUS317,EUS317,EUS317,XENOS317,XENOS317,XENOS317,XENOS317
48,NAS269,NAS269,NAS269,NAS269,EUS269,EUS269,EUS269,EUS269,XENOS269,XENOS269,XENOS269,XENOS269,NAS365,NAS365,NAS365,NAS365,EUS365,EUS365,EUS365,EUS365,XENOS365,XENOS365,XENOS365,XENOS365,NAS222,NAS222,NAS222,NAS222,EUS222,EUS222,EUS222,EUS222,XENOS222,XENOS222,XENOS222,XENOS222,NAS318,NAS318,NAS318,NAS318,EUS318,EUS318,EUS318,EUS318,XENOS318,XENOS318,XENOS318,XENOS318,NAS270,NAS270,NAS270,NAS270,EUS270,EUS270,EUS270,EUS270,XENOS270,XENOS270,XENOS270,XENOS270,NAS366,NAS366,NAS366,NAS366,EUS366,EUS366,EUS366,EUS366,XENOS366,XENOS366,XENOS366,XENOS366
49,NAS223,NAS223,NAS223,NAS223,EUS223,EUS223,EUS223,EUS223,XENOS223,XENOS223,XENOS223,XENOS223,NAS319,NAS319,NAS319,NAS319,EUS319,EUS319,EUS319,EUS319,XENOS319,XENOS319,XENOS319,XENOS319,NAS271,NAS271,NAS271,NAS271,EUS271,EUS271,EUS271,EUS271,XENOS271,XENOS271,XENOS271,XENOS271,NAS367,NAS367,NAS367,NAS367,EUS367,EUS367,EUS367,EUS367,XENOS367,XENOS367,XENOS367,XENOS367,NAS224,NAS224,NAS224,NAS224,EUS224,EUS224,EUS224,EUS224,XENOS224,XENOS224,XENOS224,XENOS224,NAS320,NAS320,NAS320,NAS320,EUS320,EUS320,EUS320,EUS320,XENOS320,XENOS320,XENOS320,XENOS320
50,NAS272,NAS272,NAS272,NAS272,EUS272,EUS272,EUS272,EUS272,XENOS272,XENOS272,XENOS272,XENOS272,NAS368,NAS368,NAS368,NAS368,EUS368,EUS368,EUS368,EUS368,XENOS368,XENOS368,XENOS368,XENOS368,NAS225,NAS225,NAS225,NAS225,EUS225,EUS225,EUS225,EUS225,XENOS225,XENOS225,XENOS225,XENOS225,NAS321,NAS321,NAS321,NAS321,EUS321,EUS321,EUS321,EUS321,XENOS321,XENOS321,XENOS321,XENOS321,NAS273,NAS273,NAS273,NAS273,EUS273,EUS273,EUS273,EUS273,XENOS273,XENOS273,XENOS273,XENOS273,NAS369,NAS369,NAS369,NAS369,EUS369,EUS369,EUS369,EUS369,XENOS369,XENOS369,XENOS369,XENOS369
51,NAS226,NAS226,NAS226,NAS226,EUS226,EUS226,EUS226,EUS226,XENOS226,XENOS226,XENOS226,XENOS226,NAS322,NAS322,NAS322,NAS322,EUS322,EUS322,EUS322,EUS322,XENOS322,XENOS322,XENOS322,XENOS322,NAS274,NAS274,NAS274,NAS274,EUS274,EUS274,EUS274,EUS274,XENOS274,XENOS274,XENOS274,XENOS274,NAS370,NAS370,NAS370,NAS370,EUS370,EUS370,EUS370,EUS370,XENOS370,XENOS370,XENOS370,XENOS370,NAS227,NAS227,NAS227,NAS227,EUS227,EUS227,EUS227,EUS227,XENOS227,XENOS227,XENOS227,XENOS227,NAS323,NAS323,NAS323,NAS323,EUS323,EUS323,EUS323,EUS323,XENOS323,XENOS323,XENOS323,XENOS323
52,NAS275,NAS275,NAS275,NAS275,EUS275,EUS275,EUS275,EUS275,XENOS275,XENOS275,XENOS275,XENOS275,NAS371,NAS371,NAS371,NAS371,EUS371,EUS371,EUS371,EUS371,XENOS371,XENOS371,XENOS371,XENOS371,NAS228,NAS228,NAS228,NAS228,EUS228,EUS228,EUS228,EUS228,XENOS228,XENOS228,XENOS228,XENOS228,NAS324,NAS324,NAS324,NAS324,EUS324,EUS324,EUS324,EUS324,XENOS324,XENOS324,XENOS324,XENOS324,NAS276,NAS276,NAS276,NAS276,EUS276,EUS276,EUS276,EUS276,XENOS276,XENOS276,XENOS276,XENOS276,NAS372,NAS372,NAS372,NAS372,EUS372,EUS372,EUS372,EUS372,XENOS372,XENOS372,XENOS372,XENOS372
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NAS37,NAS37,NAS37,NAS37,EUS37,EUS37,EUS37,EUS37,XENOS37,XENOS37,XENOS37,XENOS37,NAS133,NAS133,NAS133,NAS133,EUS133,EUS133,EUS133,EUS133,XENOS133,XENOS133,XENOS133,XENOS133,NAS85,NAS85,NAS85,NAS85,EUS85,EUS85,EUS85,EUS85,XENOS85,XENOS85,XENOS85,XENOS85,NAS181,NAS181,NAS181,NAS181,EUS181,EUS181,EUS181,EUS181,XENOS181,XENOS181,XENOS181,XENOS181,NAS38,NAS38,NAS38,NAS38,EUS38,EUS38,EUS38,EUS38,XENOS38,XENOS38,XENOS38,XENOS38,NAS134,NAS134,NAS134,NAS134,EUS134,EUS134,EUS134,EUS134,XENOS134,XENOS134,XENOS134,XENOS134
55,NAS86,NAS86,NAS86,NAS86,EUS86,EUS86,EUS86,EUS86,XENOS86,XENOS86,XENOS86,XENOS86,NAS182,NAS182,NAS182,NAS182,EUS182,EUS182,EUS182,EUS182,XENOS182,XENOS182,XENOS182,XENOS182,NAS39,NAS39,NAS39,NAS39,EUS39,EUS39,EUS39,EUS39,XENOS39,XENOS39,XENOS39,XENOS39,NAS135,NAS135,NAS135,NAS135,EUS135,EUS135,EUS135,EUS135,XENOS135,XENOS135,XENOS135,XENOS135,NAS87,NAS87,NAS87,NAS87,EUS87,EUS87,EUS87,EUS87,XENOS87,XENOS87,XENOS87,XENOS87,NAS183,NAS183,NAS183,NAS183,EUS183,EUS183,EUS183,EUS183,XENOS183,XENOS183,XENOS183,XENOS183
56,NAS40,NAS40,NAS40,NAS40,EUS40,EUS40,EUS40,EUS40,XENOS40,XENOS40,XENOS40,XENOS40,NAS136,NAS136,NAS136,NAS136,EUS136,EUS136,EUS136,EUS136,XENOS136,XENOS136,XENOS136,XENOS136,NAS88,NAS88,NAS88,NAS88,EUS88,EUS88,EUS88,EUS88,XENOS88,XENOS88,XENOS88,XENOS88,NAS184,NAS184,NAS184,NAS184,EUS184,EUS184,EUS184,EUS184,XENOS184,XENOS184,XENOS184,XENOS184,NAS41,NAS41,NAS41,NAS41,EUS41,EUS41,EUS41,EUS41,XENOS41,XENOS41,XENOS41,XENOS41,NAS137,NAS137,NAS137,NAS137,EUS137,EUS137,EUS137,EUS137,XENOS137,XENOS137,XENOS137,XENOS137
57,NAS89,NAS89,NAS89,NAS89,EUS89,EUS89,EUS89,EUS89,XENOS89,XENOS89,XENOS89,XENOS89,NAS185,NAS185,NAS185,NAS185,EUS185,EUS185,EUS185,EUS185,XENOS185,XENOS185,XENOS185,XENOS185,NAS42,NAS42,NAS42,NAS42,EUS42,EUS42,EUS42,EUS42,XENOS42,XENOS42,XENOS42,XENOS42,NAS138,NAS138,NAS138,NAS138,EUS138,EUS138,EUS138,EUS138,XENOS138,XENOS138,XENOS138,XENOS138,NAS90,NAS90,NAS90,NAS90,EUS90,EUS90,EUS90,EUS90,XENOS90,XENOS90,XENOS90,XENOS90,NAS186,NAS186,NAS186,NAS186,EUS186,EUS186,EUS186,EUS186,XENOS186,XENOS186,XENOS186,XENOS186
58,NAS43,NAS43,NAS43,NAS43,EUS43,EUS43,EUS43,EUS43,XENOS43,XENOS43,XENOS43,XENOS43,NAS139,NAS139,NAS139,NAS139,EUS139,EUS139,EUS139,EUS139,XENOS139,XENOS139,XENOS139,XENOS139,NAS91,NAS91,NAS91,NAS91,EUS91,EUS91,EUS91,EUS91,XENOS91,XENOS91,XENOS91,XENOS91,NAS187,NAS187,NAS187,NAS187,EUS187,EUS187,EUS187,EUS187,XENOS187,XENOS187,XENOS187,XENOS187,NAS44,NAS44,NAS44,NAS44,EUS44,EUS44,EUS44,EUS44,XENOS44,XENOS44,XENOS44,XENOS44,NAS140,NAS140,NAS140,NAS140,EUS140,EUS140,EUS140,EUS140,XENOS140,XENOS140,XENOS140,XENOS140
59,NAS92,NAS92,NAS92,NAS92,EUS92,EUS92,EUS92,EUS92,XENOS92,XENOS92,XENOS92,XENOS92,NAS188,NAS188,NAS188,NAS188,EUS188,EUS188,EUS188,EUS188,XENOS188,XENOS188,XENOS188,XENOS188,NAS45,NAS45,NAS45,NAS45,EUS45,EUS45,EUS45,EUS45,XENOS45,XENOS45,XENOS45,XENOS45,NAS141,NAS141,NAS141,NAS141,EUS141,EUS141,EUS141,EUS141,XENOS141,XENOS141,XENOS141,XENOS141,NAS93,NAS93,NAS93,NAS93,EUS93,EUS93,EUS93,EUS93,XENOS93,XENOS93,XENOS93,XENOS93,NAS189,NAS189,NAS189,NAS189,EUS189,EUS189,EUS189,EUS189,XENOS189,XENOS189,XENOS189,XENOS189
60,NAS46,NAS46,NAS46,NAS46,EUS46,EUS46,EUS46,EUS46,XENOS46,XENOS46,XENOS46,XENOS46,NAS142,NAS142,NAS142,NAS142,EUS142,EUS142,EUS142,EUS142,XENOS142,XENOS142,XENOS142,XENOS142,NAS94,NAS94,NAS94,NAS94,EUS94,EUS94,EUS94,EUS94,XENOS94,XENOS94,XENOS94,XENOS94,NAS190,NAS190,NAS190,NAS190,EUS190,EUS190,EUS190,EUS190,XENOS190,XENOS190,XENOS190,XENOS190,NAS47,NAS47,NAS47,NAS47,EUS47,EUS47,EUS47,EUS47,XENOS47,XENOS47,XENOS47,XENOS47,NAS143,NAS143,NAS143,NAS143,EUS143,EUS143,EUS143,EUS143,XENOS143,XENOS143,XENOS143,XENOS143
61,NAS95,NAS95,NAS95,NAS95,EUS95,EUS95,EUS95,EUS95,XENOS95,XENOS95,XENOS95,XENOS95,NAS191,NAS191,NAS191,NAS191,EUS191,EUS191,EUS191,EUS191,XENOS191,XENOS191,XENOS191,XENOS191,NAS48,NAS48,NAS48,NAS48,EUS48,EUS48,EUS48,EUS48,XENOS48,XENOS48,XENOS48,XENOS48,NAS144,NAS144,NAS144,NAS144,EUS144,EUS144,EUS144,EUS144,XENOS144,XENOS144,XENOS144,XENOS144,NAS96,NAS96,NAS96,NAS96,EUS96,EUS96,EUS96,EUS96,XENOS96,XENOS96,XENOS96,XENOS96,NAS192,NAS192,NAS192,NAS192,EUS192,EUS192,EUS192,EUS192,XENOS192,XENOS192,XENOS192,XENOS192
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,NAS229,NAS229,NAS229,NAS229,EUS229,EUS229,EUS229,EUS229,XENOS229,XENOS229,XENOS229,XENOS229,NAS325,NAS325,NAS325,NAS325,EUS325,EUS325,EUS325,EUS325,XENOS325,XENOS325,XENOS325,XENOS325,NAS277,NAS277,NAS277,NAS277,EUS277,EUS277,EUS277,EUS277,XENOS277,XENOS277,XENOS277,XENOS277,NAS373,NAS373,NAS373,NAS373,EUS373,EUS373,EUS373,EUS373,XENOS373,XENOS373,XENOS373,XENOS373,NAS230,NAS230,NAS230,NAS230,EUS230,EUS230,EUS230,EUS230,XENOS230,XENOS230,XENOS230,XENOS230,NAS326,NAS326,NAS326,NAS326,EUS326,EUS326,EUS326,EUS326,XENOS326,XENOS326,XENOS326,XENOS326
64,NAS278,NAS278,NAS278,NAS278,EUS278,EUS278,EUS278,EUS278,XENOS278,XENOS278,XENOS278,XENOS278,NAS374,NAS374,NAS374,NAS374,EUS374,EUS374,EUS374,EUS374,XENOS374,XENOS374,XENOS374,XENOS374,NAS231,NAS231,NAS231,NAS231,EUS231,EUS231,EUS231,EUS231,XENOS231,XENOS231,XENOS231,XENOS231,NAS327,NAS327,NAS327,NAS327,EUS327,EUS327,EUS327,EUS327,XENOS327,XENOS327,XENOS327,XENOS327,NAS279,NAS279,NAS279,NAS279,EUS279,EUS279,EUS279,EUS279,XENOS279,XENOS279,XENOS279,XENOS279,NAS375,NAS375,NAS375,NAS375,EUS375,EUS375,EUS375,EUS375,XENOS375,XENOS375,XENOS375,XENOS375
65,NAS232,NAS232,NAS232,NAS232,EUS232,EUS232,EUS232,EUS232,XENOS232,XENOS232,XENOS232,XENOS232,NAS328,NAS328,NAS328,NAS328,EUS328,EUS328,EUS328,EUS328,XENOS328,XENOS328,XENOS328,XENOS328,NAS280,NAS280,NAS280,NAS280,EUS280,EUS280,EUS280,EUS280,XENOS280,XENOS280,XENOS280,XENOS280,NAS376,NAS376,NAS376,NAS376,EUS376,EUS376,EUS376,EUS376,XENOS376,XENOS376,XENOS376,XENOS376,NAS233,NAS233,NAS233,NAS233,EUS233,EUS233,EUS233,EUS233,XENOS233,XENOS233,XENOS233,XENOS233,NAS329,NAS329,NAS329,NAS329,EUS329,EUS329,EUS329,EUS329,XENOS329,XENOS329,XENOS329,XENOS329
66,NAS281,NAS281,NAS281,NAS281,EUS281,EUS281,EUS281,EUS281,XENOS281,XENOS281,XENOS281,XENOS281,NAS377,NAS377,NAS377,NAS377,EUS377,EUS377,EUS377,EUS377,XENOS377,XENOS377,XENOS377,XENOS377,NAS234,NAS234,NAS234,NAS234,EUS234,EUS234,EUS234,EUS234,XENOS234,XENOS234,XENOS234,XENOS234,NAS330,NAS330,NAS330,NAS330,EUS330,EUS330,EUS330,EUS330,XENOS330,XENOS330,XENOS330,XENOS330,NAS282,NAS282,NAS282,NAS282,EUS282,EUS282,EUS282,EUS282,XENOS282,XENOS282,XENOS282,XENOS282,NAS378,NAS378,NAS378,NAS378,EUS378,EUS378,EUS378,EUS378,XENOS378,XENOS378,XENOS378,XENOS378
67,NAS235,NAS235,NAS235,NAS235,EUS235,EUS235,EUS235,EUS235,XENOS235,XENOS235,XENOS235,XENOS235,NAS331,NAS331,NAS331,NAS331,EUS331,EUS331,EUS331,EUS331,XENOS331,XENOS331,XENOS331,XENOS331,NAS283,NAS283,NAS283,NAS283,EUS283,EUS283,EUS283,EUS283,XENOS283,XENOS283,XENOS283,XENOS283,NAS379,NAS379,NAS379,NAS379,EUS379,EUS379,EUS379,EUS379,XENOS379,XENOS379,XENOS379,XENOS379,NAS236,NAS236,NAS236,NAS236,EUS236,EUS236,EUS236,EUS236,XENOS236,XENOS236,XENOS236,XENOS236,NAS332,NAS332,NAS332,NAS332,EUS332,EUS332,EUS332,EUS332,XENOS332,XENOS332,XENOS332,XENOS332
68,NAS284,NAS284,NAS284,NAS284,EUS284,EUS284,EUS284,EUS284,XENOS284,XENOS284,XENOS284,XENOS284,NAS380,NAS380,NAS380,NAS380,EUS380,EUS380,EUS380,EUS380,XENOS380,XENOS380,XENOS380,XENOS380,NAS237,NAS237,NAS237,NAS237,EUS237,EUS237,EUS237,EUS237,XENOS237,XENOS237,XENOS237,XENOS237,NAS333,NAS333,NAS333,NAS333,EUS333,EUS333,EUS333,EUS333,XENOS333,XENOS333,XENOS333,XENOS333,NAS285,NAS285,NAS285,NAS285,EUS285,EUS285,EUS285,EUS285,XENOS285,XENOS285,XENOS285,XENOS285,NAS381,NAS381,NAS381,NAS381,EUS381,EUS381,EUS381,EUS381,XENOS381,XENOS381,XENOS381,XENOS381
69,NAS238,NAS238,NAS238,NAS238,EUS238,EUS238,EUS238,EUS238,XENOS238,XENOS238,XENOS238,XENOS238,NAS334,NAS334,NAS334,NAS334,EUS334,EUS334,EUS334,EUS334,XENOS334,XENOS334,XENOS334,XENOS334,NAS286,NAS286,NAS286,NAS286,EUS286,EUS286,EUS286,EUS286,XENOS286,XENOS286,XENOS286,XENOS286,NAS382,NAS382,NAS382,NAS382,EUS382,EUS382,EUS382,EUS382,XENOS382,XENOS382,XENOS382,XENOS382,NAS239,NAS239,NAS239,NAS239,EUS239,EUS239,EUS239,EUS239,XENOS239,XENOS239,XENOS239,XENOS239,NAS335,NAS335,NAS335,NAS335,EUS335,EUS335,EUS335,EUS335,XENOS335,XENOS335,XENOS335,XENOS335
70,NAS287,NAS287,NAS287,NAS287,EUS287,EUS287,EUS287,EUS287,XENOS287,XENOS287,XENOS287,XENOS287,NAS383,NAS383,NAS383,NAS383,EUS383,EUS383,EUS383,EUS383,XENOS383,XENOS383,XENOS383,XENOS383,NAS240,NAS240,NAS240,NAS240,EUS240,EUS240,EUS240,EUS240,XENOS240,XENOS240,XENOS240,XENOS240,NAS336,NAS336,NAS336,NAS336,EUS336,EUS336,EUS336,EUS336,XENOS336,XENOS336,XENOS336,XENOS336,NAS288,NAS288,NAS288,NAS288,EUS288,EUS288,EUS288,EUS288,XENOS288,XENOS288,XENOS288,XENOS288,NAS384,NAS384,NAS384,NAS384,EUS384,EUS384,EUS384,EUS384,XENOS384,XENOS384,XENOS384,XENOS384